============== Resource: Michael Jordan ==============
Label: Eisbären Berlin,		Frequency: 1
Label: UNO-Generalsekretär,		Frequency: 1
Label: Olympischen Spielen 1980,		Frequency: 1
Label: Black Panther,		Frequency: 1
Label: Olympischen Spielen 1972,		Frequency: 1
Label: Meg Ryan,		Frequency: 1
Label: Speisekarte,		Frequency: 1
Label: Jordan, Max,		Frequency: 1
Label: Martin Behaim,		Frequency: 1
Label: Scout,		Frequency: 1
Label: NBA-Saison 1995/96,		Frequency: 1
Label: Paradies,		Frequency: 1
Label: Ernie Grunfeld,		Frequency: 1
Label: EM-Endrunde 1985,		Frequency: 1
Label: Adam Elsheimer,		Frequency: 1
Label: NBA-Saison 2006/07,		Frequency: 1
Label: Fort Lewis,		Frequency: 1
Label: 3. Oktober,		Frequency: 1
Label: Christopher Duplanty,		Frequency: 1
Label: Got Milk,		Frequency: 1
Label: Scott Fortune,		Frequency: 1
Label: Richard Jordan,		Frequency: 1
Label: Scarface,		Frequency: 1
Label: Erstligisten,		Frequency: 1
Label: Bank,		Frequency: 1
Label: 1995/96,		Frequency: 1
Label: Männer-Basketball-Europameisterschaft,		Frequency: 1
Label: In Search of The,		Frequency: 1
Label: niederländischen,		Frequency: 1
Label: David Falk,		Frequency: 1
Label: Team USA,		Frequency: 1
Label: University of Connecticut,		Frequency: 1
Label: Saison 1989/90,		Frequency: 1
Label: Amway Center,		Frequency: 1
Label: Hankyu Braves,		Frequency: 1
Label: Howard Eisley,		Frequency: 1
Label: Quarterback,		Frequency: 1
Label: "Benji" Wilson,		Frequency: 1
Label: NBA Draft 1997,		Frequency: 1
Label: Ubuntu,		Frequency: 1
Label: Looney Tunes,		Frequency: 1
Label: Centers,		Frequency: 1
Label: Basketball-Wettbewerbe,		Frequency: 1
Label: Trend,		Frequency: 1
Label: Fußballfan,		Frequency: 1
Label: Dan Rather,		Frequency: 1
Label: Musikvideo,		Frequency: 1
Label: Jerry Stackhouse,		Frequency: 1
Label: Peter Blake,		Frequency: 1
Label: Schlagzeug,		Frequency: 1
Label: Teresa Weatherspoon,		Frequency: 1
Label: Kansas,		Frequency: 1
Label: Olympischen Winterspiele 2014,		Frequency: 1
Label: s.Oliver Baskets,		Frequency: 1
Label: University of Notre Dame,		Frequency: 1
Label: Michael-Jordan,		Frequency: 1
Label: ATP-Tour,		Frequency: 1
Label: Mark Eaton,		Frequency: 1
Label: Mike Patton,		Frequency: 1
Label: Cindy Noble,		Frequency: 1
Label: Playstation 2,		Frequency: 1
Label: Ed Macauley,		Frequency: 1
Label: geblockten Würfen,		Frequency: 1
Label: Laurie Cunningham,		Frequency: 1
Label: Arnold Schwarzenegger,		Frequency: 1
Label: Antawn Jamison,		Frequency: 1
Label: Gwen Cheeseman,		Frequency: 1
Label: Black Mountain,		Frequency: 1
Label: K-219,		Frequency: 1
Label: Dangerous,		Frequency: 1
Label: NBA-Saison 2004/2005,		Frequency: 1
Label: 19. Oktober,		Frequency: 1
Label: Bobby Jones,		Frequency: 1
Label: Comic,		Frequency: 1
Label: Andre Agassi,		Frequency: 1
Label: Leon Wood,		Frequency: 1
Label: Amsterdam,		Frequency: 1
Label: Hockey,		Frequency: 1
Label: Rodney Rogers,		Frequency: 1
Label: Eddie Gottlieb,		Frequency: 1
Label: Kilimanjaro,		Frequency: 1
Label: William W. J. Kelly,		Frequency: 1
Label: American Express,		Frequency: 1
Label: Robert Douglas Partie,		Frequency: 1
Label: Slam Dunk,		Frequency: 1
Label: Vereinten Nationen,		Frequency: 1
Label: Scott Thomas Fortune,		Frequency: 1
Label: Flipperautomat,		Frequency: 1
Label: Ban Ki-moon,		Frequency: 1
Label: Olympiasieger,		Frequency: 1
Label: Raúl,		Frequency: 1
Label: MVP der NBA Finals,		Frequency: 1
Label: Basketballschuhe,		Frequency: 1
Label: Greg Ostertag,		Frequency: 1
Label: Milwaukee,		Frequency: 1
